本名,外文名,别名,字号,所处时代,国籍,毕业院校,民族,出生时间,逝世时间,职业,官职,出生地,代表作品,人物关系,简介
乔治·桑,George，Sand,露西·奥罗尔·杜邦,,,法国,,,1804年7月1日,1876年6月8日,小说家,,,《安蒂亚娜》,,乔治·桑，法国著名小说家，是巴尔扎克时代最具风情、最另类的小说家。她凭借发表的第一部长篇小说《安蒂亚娜》而一举成名。乔治·桑是一位多产作家，她一生写了244部作品，100卷以上的文艺作品、20卷的回忆录《我的一生》以及大量书简和政论文章。雨果曾称颂她“在我们这个时代具有独一无二的地位。其他伟人都是男子，惟独她是伟大的女性”。
让-雅克·卢梭,Jean-Jacques，Rousseau,,,,法国,,法兰西,公元1712年6月28日,公元1778年7月2日,哲学家，思想家，文学家,,瑞士日内瓦,《论人类不平等的起源和基础》，《社会契约论》，《论科学与艺术》,,让-雅克·卢梭，法国十八世纪启蒙思想家、哲学家、教育家、文学家，民主政论家和浪漫主义文学流派的开创者，启蒙运动代表人物之一。主要著作有《论人类不平等的起源和基础》《社会契约论》《爱弥儿》《忏悔录》《新爱洛伊丝》《植物学通信》等。卢梭出身于瑞士日内瓦的一贫苦家庭，当过学徒、仆役、私人秘书、乐谱抄写员。一生颠沛流离，备历艰辛。1749年曾以《科学与艺术的进步是否有助敦化风俗》一文而闻名。1762年因发表《社会契约论》、《爱弥儿》而遭法国当局的追捕，避居瑞士、普鲁士、英国，1778年在巴黎逝世。
罗曼·罗兰,Romain，Rolland,,,,法国,法国巴黎高等师范学校,法兰西人,1866年1月29日,1944年12月30日,思想家，文学家，音乐评论家,,法国克拉姆西镇,《名人传》，《约翰·克利斯朵夫》,好友：斯蒂芬·茨威格,罗曼·罗兰，1866年生于法国克拉姆西，思想家，文学家，批判现实主义作家，音乐评论家，社会活动家，1915年诺贝尔文学奖得主，是20世纪上半叶法国著名的人道主义作家。他的小说特点被人们归纳为“用音乐写小说”。另外，罗曼·罗兰还一生为争取人类自由、民主与光明进行不屈的斗争，他积极投身进步的政治活动，声援西班牙人民的反法西斯斗争，并出席巴黎保卫和平大会，对人类进步事业做出了一定的贡献。
塞缪尔·贝克特,Samuel，Beckett,,,,爱尔兰,都柏林圣三一学院,犹太,1906年4月13日,1989年12月22日,小说家，剧作家，诗人，散文家,,爱尔兰，都柏林,《等待戈多》,,塞缪尔·贝克特爱尔兰作家，创作的领域主要有戏剧、小说和诗歌，尤以戏剧成就最高。他是荒诞派戏剧的重要代表人物。1969年，他因“以一种新的小说与戏剧的形式，以崇高的艺术表现人类的苦恼”而获得诺贝尔文学奖。
查尔斯·狄更斯,Charles，John，Huffam，Dickens,查尔斯·约翰·赫法姆·狄更斯,,,英国,,日耳曼人,1812年2月7日,1870年6月9日,作家,,朴次茅斯,《匹克威克外传》，《雾都孤儿》，《双城记》，《远大前程》，《老古玩店》，《大卫·科波菲尔》,,查尔斯·狄更斯，全名查尔斯·约翰·赫法姆·狄更斯，英国作家，日尔曼人。主要作品有《大卫·科波菲尔》《匹克威克外传》《雾都孤儿》 《老古玩店》《艰难时世》《我们共同的朋友》《双城记》等。狄更斯1812年2月7日生于朴次茅斯市郊，出生于海军小职员家庭，少年时因家庭生活窘迫，只能断断续续入校求学。后被迫到工场做童工。15岁以后，当过律师事务所学徒、录事和法庭记录员。20岁开始当报馆采访员，报道下议院。1837年他完成了第一部长篇小说《匹克威克外传》，是第一部现实主义小说创作，后来创作才能日渐成熟，先后出版了《雾都孤儿》、《老古玩店》、《董贝父子》、《大卫·科波菲尔》、《艰难时世》、《双城记》《远大前程》等，1870年6月9日卒于罗切斯特附近的盖茨山庄。狄更斯特别注意描写生活在英国社会底层的“小人物”的生活遭遇，深刻地反映了当时英国复杂的社会现实，为英国批判现实主义文学的开拓和发展做出了卓越的贡献。他的作品对英国文学发展起到了深远的影响。
阿加莎·克里斯蒂,Agatha，Christie,阿加莎·玛丽·克拉丽莎·米勒,,,英国,,,1890年9月15日,1976年1月12日,作家,,英国德文郡托基,《无人生还》，《东方快车谋杀案》，《尼罗河谋杀案》，《罗杰疑案》,,阿加莎·克里斯蒂，英国女侦探小说家、剧作家，三大推理文学宗师之一。代表作品有《东方快车谋杀案》和《尼罗河谋杀案》等。1890年，阿加莎·克里斯蒂生于英国德文郡托尔奎，原名阿加莎·玛丽·克拉丽莎·米勒。阿加莎·克里斯蒂16岁时到巴黎学习声乐，但文学的爱好使她最终放弃了走歌唱家的道路。1914年，第一次世界大战期间，她参加了英国和红十字志愿队，从事救护工作。1920年发表《斯泰尔斯庄园奇案》，该书第一次出现了侦探波洛这个人物形象。1930年，阿加莎在《牧师家的谋杀案》中起用新的侦探形象，来自英国乡村的女侦探玛普尔小姐。1947年，为庆祝英女王85岁生日，阿加莎创作三幕惊险剧《捕鼠器》，该剧在英国舞台连演几十年不衰，成为英国戏剧史上上演时间最长的一部作品。1956年，她荣获“不列颠帝国勋章”和埃克塞特大学名誉文学博士学位，1971年，她又荣获女爵士封号。她因创作侦探小说的成就，被吸收为英国皇家文学会的会员，后被英国女王授予”侦探女王”的桂冠。1975年，阿加莎·克里斯蒂写下她最后的一部小说《幕》。1976年1月12日，她在英国沃林福特去世，享年85岁。据吉尼斯世界纪录统计，阿加莎·克里斯蒂是人类史上最畅销的著书作家。而将所有形式的著作算入，只有圣经与威廉·莎士比亚的著作的总销售量在她之上。其著作曾翻译成超过103种语言，总销突破20亿本。
亚瑟·查理斯·克拉克,Arthur，Charles，Clarke,Charles，Willis，亚瑟·查尔斯·克拉克,,,英国，斯里兰卡,伦敦国王学院,,1917年12月16日,2008年3月19日,科幻小说家,,英国萨默塞特郡,《童年的终结》，《月尘飘落》，《2001太空漫游》,,亚瑟·查尔斯·克拉克，英国科幻小说家。其科幻作品多以科学为依据，小说里的许多预测都已成现实。尤其是他的卫星通讯的描写，与实际发展惊人的一致，地球同步卫星轨道因此命名为“克拉克轨道”。作品包括《童年的终结》、《月尘飘落》、《来自天穹的声音》、《帝国大地》和《2001》等。还与人合作拍摄富有创新的科学幻想片《2001年太空漫游》。与艾萨克·阿西莫夫、罗伯特·海因莱因并称为二十世纪三大科幻小说家。
弗朗西斯·培根,Francis，Bacon,弗兰西斯·培根,,,英国,,英格兰,1561年1月22日,1626年4月9日,唯物主义哲学家，思想家，作家,,伦敦,《新工具》，《学术的进步》，《新大西岛》，《培根随笔》,,弗朗西斯·培根，第一代圣阿尔本子爵，英国文艺复兴时期散文家、哲学家。英国唯物主义哲学家，实验科学的创始人，是近代归纳法的创始人，又是给科学研究程序进行逻辑组织化的先驱。主要著作有《新工具》、《论科学的增进》以及《学术的伟大复兴》等。培根12岁入剑桥大学，后担任女王特别法律顾问以及朝廷的首席检察官、掌玺大臣等。晚年，受宫廷阴谋逐出宫廷，脱离政治生涯，专心从事学术研究和著述活动，写成了一批在近代文学思想史上具有重大影响的著作，其中最重要的一部是《伟大的复兴新工具论》。另外，他以哲学家的眼光，思考了广泛的人生问题，写出了许多形式短小、风格活泼的随笔小品，集成《培根随笔》。1626年3月底，培根由于身体孱弱，在实验中遭受风寒，支气管炎复发，病情恶化。1626年4月9日清晨病逝。
赫伯特·乔治·威尔斯,Herbert，George，Wells,,,,英国,伦敦大学,,1866年9月21日,1946年8月13日,著名小说家和政治家,,肯特郡布朗,《时间机器》，《莫洛博士岛》，《隐身人》，《星际战争》,妻子：丽贝卡·韦斯特,赫伯特·乔治·威尔斯，又译作赫伯特·乔治·韦尔斯，英国著名小说家，新闻记者、政治家、社会学家和历史学家。他创作的科幻小说对该领域影响深远，如“时间旅行”、“外星人入侵”、“反乌托邦”等都是20世纪科幻小说中的主流话题。1895年出版《时间机器》一举成名，随后又发表了《莫洛博士岛》、《隐身人》、《星际战争》等多部科幻小说。他还是一位社会改革家和预言家，曾是费边社的重要成员，会晤过罗斯福和斯大林，撰写了《基普斯》、《托诺－邦盖》、《波里先生和他的历史》、《勃列林先生看穿了他》、《恩惠》、《预测》、《世界史纲》等大量关注现实，思考未来的作品。威尔斯一生创作了一百多部作品，内容涉及科学、文学、历史、社会及政治等各个领域，是现代最多产的作家之一。
简·奥斯汀,Jane，Austen,,,,英国,,,1775年12月16日,1817年7月18日,小说家,,英国斯蒂文顿,《理智与情感》，《傲慢与偏见》，《爱玛》，《劝导》,男友：汤姆·勒弗罗伊,简·奥斯汀，英国女小说家，主要作品有《傲慢与偏见》、《理智与情感》等。简·奥斯汀21岁时写成她的第一部小说，题名《最初的印象》，她与出版商联系出版，没有结果。就在这一年，她又开始写《埃莉诺与玛丽安》，以后她又写《诺桑觉寺》，于1799年写完。十几年后，《最初的印象》经过改写，换名为《傲慢与偏见》，《埃莉诺与玛丽安》经过改写，换名为《理智与情感》，分别得到出版。至于《诺桑觉寺》，作者生前没有出书。以上这三部是奥斯汀前期作品，写于她的故乡史蒂文顿。她的后期作品同样也是三部：《曼斯菲尔德庄园》、《爱玛》和《劝导》，都是作者迁居乔顿以后所作。前两部先后出版，只有1816年完成的《劝导》，因为作者对原来的结局不满意，要重写，没有出版过。她病逝以后，哥哥亨利·奥斯汀负责出版了《诺桑觉寺》和《劝导》，并且第一次用了简·奥斯汀这个真名。
威廉·莎士比亚,WilliamShakespeare,莎翁,,,英国,国王爱德华六世在斯特拉福文法学校,,儒略历1564年4月23日,1616年4月23日,剧作家，诗人，文学家，艺术家,,瓦维克郡埃文河畔斯特拉特福,《罗密欧与朱丽叶》，《哈姆雷特》，《李尔王》，《麦克白》，《奥赛罗》，《威尼斯商人》，《驯悍记》,,威廉·莎士比亚，华人社会常尊称为莎翁，是英国文学史上最杰出的戏剧家，也是欧洲文艺复兴时期最重要、最伟大的作家之一，当时人文主义文学的集大成者，以及全世界最卓越的文学家之一。莎士比亚在埃文河畔斯特拉特福出生长大，18岁时与安妮·海瑟薇结婚，两人共生育了三个孩子：苏珊娜、双胞胎哈姆尼特和朱迪思。16世纪末到17世纪初的20多年期间莎士比亚在伦敦开始了成功的职业生涯，他不仅是演员、剧作家，还是宫内大臣剧团的合伙人之一，后来改名为国王剧团。1613年左右，莎士比亚退休回到埃文河畔斯特拉特福，3年后逝世。1590年到1600年是莎士比亚的创作的黄金时代。他的早期剧本主要是喜剧和历史剧，在16世纪末期达到了深度和艺术性的高峰。接下来1601到1608年他主要创作悲剧，莎士比亚崇尚高尚情操，常常描写牺牲与复仇，包括《奥赛罗》、《哈姆雷特》、《李尔王》和《麦克白》，被认为属于英语最佳范例。在他人生最后阶段，他开始创作悲喜剧，又称为传奇剧。莎士比亚流传下来的作品包括37部戏剧、154首十四行诗、两首长叙事诗。他的戏剧有各种主要语言的译本，且表演次数远远超过其他所有戏剧家的作品。
J.K.罗琳,J.K.，Rowling,,,,英国,埃克塞特大学,,1965年7月31日,,作家,,英国格温特郡,《哈利·波特》,,J.K.罗琳，1965年7月31日出生于英国格温特郡，毕业于英国埃克塞特大学，英国作家。1989年，24岁的罗琳有了创作哈利·波特的念头。1997年6月，推出哈利·波特系列第一本《哈利·波特与魔法石》。随后，罗琳又分别于1998年与1999年创作了《哈利·波特与密室》和《哈利·波特与阿兹卡班的囚徒》。2001年，美国华纳兄弟电影公司决定将小说的第一部《哈利·波特与魔法石》搬上银幕。2003年6月，她再创作出第五部作品《哈利·波特与凤凰社》。2004年，罗琳荣登《福布斯》富人排行榜，她的身价达到10亿美元。2005年7月推出了第六部《哈利·波特与混血王子》，2007年7月推出终结篇《哈利·波特与死亡圣器》。截至2008年，《哈利·波特》系列7本小说被翻译成67种文字在全球发行4亿册。2010年，哈利·波特电影系列的完结篇《哈利·波特与死亡圣器》拍摄完成。2014年12月，罗琳更新了《哈利·波特》系列相关的小故事。2017年6月12日，美国《福布斯》公布了2017年度全球百位名人榜，J.K.罗琳排名第三。2017年12月12日，J·K·罗琳被英国皇室授予“荣誉勋爵”。
威廉·萨默塞特·毛姆,William，Somerset，Maugham,,,,英国,德国海德堡大学,,1874年1月25日,1965年12月15日,作家,,法国巴黎,《人生的枷锁》，《月亮和六便士》,,威廉·萨默塞特·毛姆，英国小说家、剧作家。代表作有戏剧《圈子》，长篇小说《人生的枷锁》、《月亮和六便士》，短篇小说集《叶的震颤》、《阿金》等。毛姆1874年1月25日出生在巴黎，中学毕业后，在德国海德堡大学肄业。1892至1897年在伦敦学医，并取得外科医师资格。1897年发表第一部长篇小说《兰贝斯的丽莎》。1915年发表长篇小说《人间的枷锁》。第一次世界大战期间，毛姆赴法国参加战地急救队，不久进入英国情报部门，在日内瓦收集敌情；后又出使俄国，劝阻俄国退出战争，与临时政府首脑克伦斯基有过接触。1916年，毛姆去南太平洋旅行，此后多次到远东。1920年到中国，写了游记《在中国的屏风上》，并以中国为背景写了一部长篇小说《彩巾》。以后又去了拉丁美洲与印度。1919年，长篇小说《月亮和六便士》问世。毛姆于1928年定居法国地中海滨。第二次世界大战时曾去英、美宣传联合抗德，并写了长篇小说《刀锋》。1930年，长篇小说《大吃大喝》出版。1948年以16世纪西班牙为背景的长篇小说《卡塔林纳》出版，此外又发表了回忆录与文艺批评等作品。1954年，英国女王授予其“荣誉侍从”的称号，他成为皇家文学会的会员。1959年，毛姆作了最后一次远东之行。1965年12月16日于法国病逝。
钦吉斯·艾特玛托夫,Чингиз，Торекулович，Айтматов,钦吉斯·托瑞库洛维奇·艾特玛托夫,,,苏联，吉尔吉斯斯坦,高尔基文学院,吉尔吉斯族,1928年12月12日,2008年6月10日,作家,,苏联吉尔吉斯塔拉斯州,《查密莉雅》，《白轮船》,,钦吉斯·艾特玛托夫，苏联——吉尔吉斯斯坦籍作家，全名钦吉斯·托瑞库洛维奇·艾特玛托夫。1928年12月12日，生于苏联吉尔吉斯地区塔拉斯山区。1952年开始发表作品，代表作有《查密莉雅》、《一日长于百年》、《白轮船》等，曾获列宁奖金和苏联国家奖金。他的作品被译成50多种文字出版，在国内外拥有广泛的读者。苏联解体后，艾特玛托夫曾任俄罗斯驻卢森堡大使、吉尔吉斯斯坦驻比利时大使兼驻欧洲共同体和北约代表。2008年6月10日，钦吉斯·艾特玛托夫在德国纽伦堡病逝，享年79岁。
伊凡·谢尔盖耶维奇·屠格涅夫,俄文：Иван，Сергеевич，Тургенев英文：Ivan，Sergeevich，Turgenev,,,,俄国,彼得堡大学,,1818年11月9日,1883年9月3日,作家,,俄国奥廖尔省奥廖尔,《猎人笔记》，《父与子》，《罗亭》，《前夜》,,伊凡·谢尔盖耶维奇·屠格涅夫，19世纪俄国批判现实主义作家。主要作品有长篇小说《罗亭》、《贵族之家》、《前夜》、《父与子》、《处女地》，中篇小说《阿霞》、《初恋》等屠格涅夫出生在奥廖尔省一个贵族家庭，但自幼厌恶农奴制度。曾先后在莫斯科大学、彼得堡大学就读，毕业后到柏林进修，回国后和别林斯基成为至交。从1847年起为《现代人》杂志撰稿，出于自由主义和人道主义的立场反对农奴制。屠格涅夫在大学时代就开始创作，1847～1852年陆续写成的《猎人笔记》是其成名作，主要表现农奴制下农民和地主的关系。该作品反农奴制的倾向触怒了当局，当局以屠格涅夫发表追悼果戈里文章违反审查条例为由，将其拘捕、放逐。在拘留中他写了反农奴制的短篇小说《木木》。19世纪50至70年代是屠格涅夫创作的旺盛时期，他陆续发表了长篇小说：《罗亭》、《贵族之家》、《前夜》、《父与子》、《烟》、《处女地》。从19世纪60年代起，屠格涅夫大部分时间在西欧度过，结交了许多作家、艺术家，如左拉、莫泊桑、都德、龚古尔等。参加了在巴黎举行的“国际文学大会”，被选为副主席。1883年屠格涅夫病逝于法国巴黎。
尼古拉·加夫里诺维奇·车尔尼雪夫斯基,,,,,,,,1828年7月24日,1889年10月29日,,,萨拉托夫市,《怎么办》，《艺术与现实的美学关系》，《资本与劳动》,,俄国唯物主义哲学家、文学评论家、作家，革命民主主义者。生于萨拉托夫城的一个神父家庭，毕业于当地一个神学院，兼修英、法、德、意、希腊和拉丁语，另外还有古斯拉夫语，也正是在这座学校，车尔尼雪夫斯基与文学结缘。1846年，18岁的他进入彼得堡大学文史系学习。大学时代接近进步组织彼得堡拉舍夫斯基小组，受唯物主义和空想社会主义思想影响，开始研究黑格尔和费尔巴哈哲学，这段时间使得他成为了一个无神论者。1856年起参加进步刊物《现代人》编辑工作。1862年被捕入狱，关押在彼得堡罗要塞，后又流放西伯利亚服苦役，1889年去世，享年61岁。车尔尼雪夫斯基不但是俄国著名作家，而且是19世纪60年代反对沙皇农奴制度的代表人物和先进思想的启蒙者。他的活动曾经得到马克思、恩格斯、列宁和斯大林的高度评价。列宁称赞他“从50年代起直到1888年，始终保持着完整的哲学唯物主义的水平”。
