本名,外文名,别名,字号,所处时代,国籍,毕业院校,民族,出生时间,逝世时间,职业,官职,出生地,代表作品,人物关系,简介
陶渊明,,陶潜,字元亮,东晋→南北朝,,,汉族,公元352或365年,公元427年,诗人，辞赋家,,浔阳柴桑,《陶渊明集》,,陶渊明，字元亮，又名潜，私谥“靖节”，世称靖节先生，浔阳柴桑人。东晋末至南朝宋初期伟大的诗人、辞赋家。曾任江州祭酒、建威参军、镇军参军、彭泽县令等职，最末一次出仕为彭泽县令，八十多天便弃职而去，从此归隐田园。他是中国第一位田园诗人，被称为“古今隐逸诗人之宗”，有《陶渊明集》。
谢灵运,,谢客，谢康公，谢康乐，谢公义,字灵运,南北朝,,,汉族,385年,433年,,,会稽始宁,《庐山慧远法师诔》，《归途赋》，《述祖德诗》,,谢灵运，原名公义，字灵运，以字行于世，小名客儿，世称谢客。出身陈郡谢氏，祖籍陈郡阳夏，生于会稽始宁。南北朝时期诗人、佛学家、旅行家。晋安帝元兴二年，谢灵运继承了祖父的爵位，被封为康乐公。义熙元年，出任大司马司马德文的行参军。此后任抚军将军记室参军、太尉参军等职。刘宋代晋后，降封康乐侯，历任永嘉太守、秘书监、临川内史，元嘉十年被宋文帝刘义隆以“叛逆”罪名杀害，年仅四十九岁。谢灵运少即好学，博览群书，工诗善文。其诗与颜延之齐名，并称“颜谢”，是第一位全力创作山水诗的诗人，他还兼通史学，擅书法，曾翻译外来佛经，并奉诏撰《晋书》。明人辑有《谢康乐集》。
李密,,玄邃，法主,永平,永平,中国,,汉族,582年,619年1月20日,诸侯,瓦岗寨西魏国首领，唐光禄卿,长安,《淮阳感怀》,,李密，字玄邃， 小字法主，辽东襄平。隋末唐初的群雄之一。出身辽东李氏，来自四世三公，文武双全，志向远大。隋末群雄起义时，成为瓦岗军首领之一，自称魏公，率领瓦岗军屡败隋军，威震天下。瓦岗军原领袖翟让准备让位，遭到哥哥从中阻拦。李密废杀瓦岗寨主翟让，引发内部不稳，屡为隋军所败，接受越王杨侗招抚，率军拼杀宇文化及，损失惨重。终为王世充击败，率部投降李唐，封邢国公。武德二年，图谋叛唐自立，为盛彦师斩于熊耳山。
王勃,,,字子安,唐代,,,汉人,约650年,约676年,,,绛州龙门,《滕王阁序》，《送杜少府之任蜀州》,,王勃，字子安，汉族，唐代文学家。古绛州龙门人，出身儒学世家，与杨炯、卢照邻、骆宾王并称为“王杨卢骆”、“初唐四杰”。王勃自幼聪敏好学，据《旧唐书》记载，他六岁即能写文章，文笔流畅，被赞为“神童”。九岁时，读颜师古注《汉书》，作《指瑕》十卷以纠正其错。十六岁时，应幽素科试及第，授职朝散郎。因做《斗鸡檄》被赶出沛王府。之后，王勃历时三年游览巴蜀山川景物，创作了大量诗文。返回长安后，求补得虢州参军。在参军任上，因私杀官奴二次被贬。唐高宗上元三年八月，自交趾探望父亲返回时，不幸渡海溺水，惊悸而死。王勃在诗歌体裁上擅长五律和五绝，代表作品有《送杜少府之任蜀州》等；主要文学成就是骈文，无论是数量还是质量，堪称一时之最，代表作品有《滕王阁序》等。
卢照邻,,卢升之，幽忧子,,,中国,,汉族,630年左右,说法多种：680-695,诗人,,幽州范阳,《长安古意》，《十五夜观灯》，《元日述怀》,,卢照邻字升之，自号幽忧子，汉族，幽州范阳人，初唐诗人。卢照邻出身望族，曾为王府典签，又出任益州新都尉，在文学上，他与王勃、杨炯、骆宾王以文词齐名，号为“初唐四杰”。有7卷本的《卢升之集》、明张燮辑注的《幽忧子集》存世。卢照邻尤工诗歌骈文，以歌行体为佳，不少佳句传颂不绝，如“得成比目何辞死，愿作鸳鸯不羡仙”等，更被后人誉为经典。
杨炯,,杨盈川,,初唐,,,汉族,650年,约693年,,,华州华阴,《从军行》，《战城南》,,杨炯，华州华阴人，唐代文学家，与王勃、卢照邻、骆宾王并称初唐四杰。杨炯自幼聪敏博学，唐显庆四年应童子举及弟，翌年待制弘文馆，唐高宗上元三年应制举，补秘书省校书郎，唐永淳元年擢为太子詹事司直，唐垂拱二年被贬为梓州司法参军，唐如意元年任盈川令，约如意二年卒于任上。杨炯文学才华出众，善写散文，尤擅诗。现存诗30余首，以五言见长，多边塞征战诗篇，所作如《从军行》《出塞》《战城南》《紫骝马》等 ，气势轩昂，风格豪放，表现了为国立功的战斗精神。在艺术上，对仗工整，音韵合律，既有律诗的严谨之风，又有乐府诗的明快特色。其他唱和、纪游的诗篇则无甚特色，且未尽脱绮艳之风。另存赋、序、表、碑、铭、志、状等50余篇。杨炯反对宫体诗风，主张“骨气”、“刚健”的文风。他的诗在内容和艺术风格上以突破齐梁“宫体”诗风为特色，在诗歌发展史上起到承前启后的作用。明代童佩辑有《杨盈川集》十卷。
骆宾王,,骆观光，骆临海,字观光,初唐,,,汉族,约公元619年,约公元687年,,,婺州义乌,《为徐敬业讨武曌檄》，《帝京篇》，《畴昔篇》，《咏鹅》,,骆宾王，字观光，汉族，婺州义乌人，唐代诗人。高宗永徽中，为道王李元庆府属，历武功、长安主簿。仪凤三年，入为侍御史，因事下狱，次年遇赦。调露二年，除临海丞，不得志，辞官。徐敬业起兵讨伐武则天时，骆宾王为其代作《为徐敬业讨武曌檄》。檄文罗列了武后的罪状，写得极感人。当武后读到“一抔之土未干，六尺之孤安在”两句时，极为震动，责问宰相为何不早重用此人。徐敬业兵败后，骆宾王下落不明，或说被乱军所杀，或说遁入了空门。骆宾王与王勃、杨炯、卢照邻合称“初唐四杰”。他辞采华胆，格律谨严。长篇如《帝京篇》，五七言参差转换，讽时与自伤兼而有之；小诗如《于易水送人》，二十字中，悲凉慷慨，余情不绝。有《骆宾王文集》遗世。
陈子昂,,陈伯玉，陈拾遗，“诗骨”,字伯玉,唐朝,,,汉族,公元659年,公元700年,,,梓州射洪,《感遇》，《登幽州台歌》，《登泽州城北楼宴》,父亲：陈元敬,陈子昂，字伯玉，梓州射洪人，唐代诗人，初唐诗文革新人物之一。因曾任右拾遗，后世称陈拾遗。青少年时轻财好施，慷慨任侠，24岁举进士，以上书论政得到女皇武则天重视，授麟台正字。后升右拾遗，直言敢谏，曾因“逆党”反对武后而株连下狱。在26岁、36岁时两次从军边塞，对边防颇有些远见。38岁（圣历元年698)时，因父老解官回乡，不久父死。陈子昂居丧期间，权臣武三思指使射洪县令段简罗织罪名，加以迫害，冤死狱中。其存诗共100多首，其诗风骨峥嵘，寓意深远，苍劲有力。其中最有代表性的有组诗《感遇》38首，《蓟丘览古》7首和《登幽州台歌》、《登泽州城北楼宴》等。陈子昂与司马承祯、卢藏用、宋之问、王适、毕构、李白、孟浩然、王维、贺知章称为仙宗十友。
宋之问,,,字延清,初唐,,,汉,约656年,约712年,唐代诗人,,汾州隰城,《度大庾岭》,,宋之问，字延清，名少连，汉族，虢州弘农人，初唐时期的诗人，与沈佺期并称“沈宋”。唐高宗上元二年，进士及第，当时掌握实权的是武则天，富有才学的宋之问深得赏识，被召入文学馆，不久出授洛州参军，永隆元年，与杨炯一起进入崇文馆任学士。与陈子昂、卢藏用、司马承祯、王适、毕构、李白、孟浩然、王维、贺知章称为仙宗十友。
杜审言,,,字必简,唐代,,,汉族,645年,708年,,,襄阳,《杜审言诗集》,,杜审言，字必简，祖籍襄州襄阳，河南巩县人，晋征南将军杜预的远裔，“诗圣”杜甫的祖父。唐高宗咸亨进士，唐中宗时，因与张易之兄弟交往，被流放峰州。曾任隰城尉、洛阳丞等小官，累官修文馆直学士，与李峤、崔融、苏味道被称为“文章四友”，是唐代“近体诗”的奠基人之一，作品多朴素自然。其五言律诗，格律谨严。原有集，已散佚，后人辑有《杜审言诗集》。
高适,,高常侍,达夫，仲武,唐朝,,,汉族,704年,765年,,刑部侍郎，散骑常侍,渤海蓨,《高常侍集》,,高适，字达夫，一字仲武，渤海蓨人，后迁居宋州宋城。安东都护高侃之孙，唐代大臣、诗人。曾任刑部侍郎、散骑常侍，封渤海县侯，世称高常侍。于永泰元年正月病逝，卒赠礼部尚书，谥号忠。作为著名边塞诗人，高适与岑参并称“高岑”，与岑参、王昌龄、王之涣合称“边塞四诗人”。其诗笔力雄健，气势奔放，洋溢着盛唐时期所特有的奋发进取、蓬勃向上的时代精神。有文集二十卷。
岑参,,岑嘉州,,唐朝,,,汉族,约开元三年,约大历五年,,,一说荆州江陵，一说南阳,《岑嘉州诗集》,,岑参，荆州江陵人，一说南阳人，后徙居江陵，唐代诗人，与高适并称“高岑”。岑参早岁孤贫，从兄就读，遍览史籍；天宝三载进士及第，初为率府兵曹参军，后两次从军边塞，先任安西节度使高仙芝幕府掌书记，后在天宝末年封常清任安西北庭节度使时任封常清幕府判官；唐代宗时，曾任嘉州刺史，故世称“岑嘉州”；后约大历五年卒于成都，享年约五十六岁。文学创作方面，岑参工诗，长于七言歌行，对边塞风光，军旅生活，以及异域的文化风俗有亲切的感受，故其边塞诗尤多佳作。
王维,,王右丞，诗佛,字摩诘，号摩诘居士,唐朝,,,汉族,701年，一说699年,761年,,尚书右丞,蒲州,《王摩诘文集》,弟弟：王缙,王维，字摩诘，号摩诘居士。河东蒲州人，祖籍山西祁县。唐朝著名诗人、画家。王维出身河东王氏，于开元十九年状元及第。历官右拾遗、监察御史、河西节度使判官。唐玄宗天宝年间，王维拜吏部郎中、给事中。安禄山攻陷长安时，王维被迫受伪职。长安收复后，被责授太子中允。唐肃宗乾元年间任尚书右丞，故世称“王右丞”。王维参禅悟理，学庄信道，精通诗、书、画、音乐等，以诗名盛于开元、天宝间，尤长五言，多咏山水田园，与孟浩然合称“王孟”，有“诗佛”之称。书画特臻其妙，后人推其为南宗山水画之祖。苏轼评价其：“味摩诘之诗，诗中有画；观摩诘之画，画中有诗。”存诗400余首，代表诗作有《相思》、《山居秋暝》等。著作有《王右丞集》、《画学秘诀》。
孟浩然,,诗星，孟襄阳，孟浩,字浩然，孟山人,唐代,,,汉族,公元689年,公元740年,,,湖北襄阳,《孟浩然集》，《过故人庄》，《春晓》，《宿建德江》,,孟浩然，名浩，字浩然，号孟山人，襄州襄阳人，唐代著名的山水田园派诗人，世称“孟襄阳”。因他未曾入仕，又称之为“孟山人”。孟浩然生当盛唐，早年有志用世，在仕途困顿、痛苦失望后，尚能自重，不媚俗世，修道归隐终身。曾隐居鹿门山。40岁时，游长安，应进士举不第。曾在太学赋诗，名动公卿，一座倾服，为之搁笔。开元二十五年张九龄招致幕府，后隐居。孟诗绝大部分为五言短篇，多写山水田园和隐居的逸兴以及羁旅行役的心情。其中虽不无愤世嫉俗之词，而更多属于诗人的自我表现。孟浩然的诗在艺术上有独特的造诣，后人把孟浩然与盛唐另一山水诗人王维并称为“王孟”，有《孟浩然集》三卷传世。
崔颢,,,,,中国唐朝,,汉族,704年,754年,诗人，河东节度使军幕，太仆寺丞，司勋员外郎,,汴州,《黄鹤楼》，《辽西作》，《崔颢集》,,崔颢，汴州人，唐代诗人。唐玄宗开元十一年进士，官至太仆寺丞，天宝中为司勋员外郎。最为人称道的是他那首《黄鹤楼》，据说李白为之搁笔，曾有“眼前有景道不得，崔颢题诗在上头”的赞叹。《全唐诗》收录诗四十二首。他秉性耿直，才思敏捷，其作品激昂豪放，气势宏伟，著有《崔颢集》。
贺知章,,贺秘监,字季真，号四明狂客,唐代,,,汉人,约公元659年,约公元744年,,,越州永兴,《咏柳》，《回乡偶书二首》,好友：张旭，李白，包融,贺知章，唐代诗人、书法家。字季真，晚年自号“四明狂客”“秘书外监”，越州永兴人。少时以诗文知名。武则天证圣元年中乙未科状元，授予国子四门博士，迁太常博士。后历任礼部侍郎、秘书监、太子宾客等职。贺知章为人旷达不羁，好酒，有“清谈风流”之誉，晚年尤纵。86岁告老还乡，不久去世。与张若虚、张旭、包融并称“吴中四士”；与李白、李适之等谓“饮中八仙”；又与陈子昂、卢藏用、宋之问、王适、毕构、李白、孟浩然、王维、司马承祯等称为“仙宗十友”。其诗文以绝句见长，除祭神乐章、应制诗外，其写景、抒怀之作风格独特，清新潇洒，其中《咏柳》《回乡偶书》等脍炙人口，千古传诵。作品大多散佚，《全唐诗》录其诗19首。
王昌龄,,王少伯，王龙标，王江宁,,,,,汉族,约武周圣历元年,约唐肃宗至德二载,,,河东晋阳,《出塞》，《从军行七首》，《芙蓉楼送辛渐》，《长信宫词》，《闺怨》,,王昌龄 ，字少伯，汉族，河东晋阳人，又一说京兆长安人人。盛唐著名边塞诗人。王昌龄早年贫苦，主要依靠农耕维持生活，30岁左右进士及第。初任秘书省校书郎，而后又担任博学宏辞、汜水尉，因事被贬岭南。开元末返长安，改授江宁丞。被谤谪龙标尉。安史乱起，被刺史闾丘晓所杀。王昌龄与李白、高适、王维、王之涣、岑参等人交往深厚。其诗以七绝见长，尤以登第之前赴西北边塞所作边塞诗最著，有“诗家夫子王江宁”之誉，又被后人誉为“七绝圣手”。王昌龄诗绪密而思清，与高适、王之涣齐名，时谓王江宁。有文集六卷，今编诗四卷。代表作有《从军行七首》《出塞》《闺怨》等。
王之涣,,王季凌,,,唐朝,,汉,688年,742年,,,,《登鹳雀楼》，《凉州词》,,王之涣，是盛唐时期的著名诗人，字季凌，汉族，蓟门人，一说晋阳人。性格豪放不羁，常击剑悲歌，其诗多被当时乐工制曲歌唱。名动一时，他常与高适、王昌龄等相唱和，以善于描写边塞风光著称。其代表作有《登鹳雀楼》、《凉州词》等。王之涣早年由并州迁居至绛州，曾任冀州衡水主簿。衡水县令李涤将三女儿许配给他。因被人诬谤，乃拂衣去官，后复出担任文安县尉，在任内期间去世。王之涣“慷慨有大略，倜傥有异才”，早年精于文章，并善于写诗，多引为歌词。他尤善五言诗，以描写边塞风光为胜，是浪漫主义诗人。靳能《王之涣墓志铭》称其诗&quot;尝或歌从军，吟出塞，曒兮极关山明月之思，萧兮得易水寒风之声，传乎乐章，布在人口。&quot;但他的作品现存仅有六首绝句，其中三首边塞诗。他的诗以《登鹳雀楼》、《凉州词》为代表作。章太炎推《凉州词》为“绝句之最”。
李白,,李十二，李翰林，李供奉，李拾遗，诗仙,字太白，号青莲居士，又号谪仙人,唐朝,,,汉族,长安元年,宝应元年,,,四川绵阳江油,《静夜思》，《蜀道难》，《将进酒》，《梦游天姥吟留别》，《行路难》,"儿子：颇黎
好友：贺知章，怀素",李白 ，字太白，号青莲居士，又号“谪仙人”，是唐代伟大的浪漫主义诗人，被后人誉为“诗仙”，与杜甫并称为“李杜”，为了与另两位诗人李商隐与杜牧即“小李杜”区别，杜甫与李白又合称“大李杜”。据《新唐书》记载，李白为兴圣皇帝九世孙，与李唐诸王同宗。其人爽朗大方，爱饮酒作诗，喜交友。李白深受黄老列庄思想影响，有《李太白集》传世，诗作中多以醉时写的，代表作有《望庐山瀑布》《行路难》《蜀道难》《将进酒》《梁甫吟》《早发白帝城》等多首。李白所作词赋，宋人已有传记，就其开创意义及艺术成就而言，“李白词”享有极为崇高的地位。
杜甫,,杜少陵，杜工部，杜拾遗，杜草堂，老杜，诗圣,字子美，自号少陵野老,唐朝,,,汉族,先天元年,大历五年冬,,左拾遗，华州司功参军,河南巩县,《望岳》，《登高》，《春望》，《三吏》，《三别》，《茅屋为秋风所破歌》,孙子：杜嗣业,杜甫，字子美，自号少陵野老，唐代伟大的现实主义诗人，与李白合称“李杜”。原籍湖北襄阳，后徙河南巩县。为了与另两位诗人李商隐与杜牧即“小李杜”区别，杜甫与李白又合称“大李杜”，杜甫也常被称为“老杜”。杜甫少年时代曾先后游历吴越和齐赵，其间曾赴洛阳应举不第。三十五岁以后，先在长安应试，落第；后来向皇帝献赋，向贵人投赠。官场不得志，亲眼目睹了唐朝上层社会的奢靡与社会危机。天宝十四载，安史之乱爆发，潼关失守，杜甫先后辗转多地。乾元二年杜甫弃官入川，虽然躲避了战乱，生活相对安定，但仍然心系苍生，胸怀国事。创作了《登高》《春望》《北征》《三吏》《三别》等名作。虽然杜甫是个现实主义诗人，但他也有狂放不羁的一面，从其名作《饮中八仙歌》不难看出杜甫的豪气干云。杜甫的思想核心是儒家的仁政思想，他有“致君尧舜上，再使风俗淳”的宏伟抱负。杜甫虽然在世时名声并不显赫，但后来声名远播，对中国文学和日本文学都产生了深远的影响。杜甫共有约1500首诗歌被保留了下来，大多集于《杜工部集》。大历五年冬，杜甫病逝，时年五十九岁。杜甫在中国古典诗歌中的影响非常深远，被后人称为“诗圣”，他的诗被称为“诗史”。后世称其杜拾遗、杜工部，也称他杜少陵、杜草堂。
白居易,,诗王，诗魔,字乐天，号香山居士，又号醉吟先生,唐朝,,,汉族,772年2月28日,846年9月8日,,,河南新郑,《白氏长庆集》，《长恨歌》，《琵琶行》，《卖炭翁》,"父亲：白季庚
弟弟：白行简",白居易，字乐天，号香山居士，又号醉吟先生，祖籍山西太原，到其曾祖父时迁居下邽，生于河南新郑。是唐代伟大的现实主义诗人，唐代三大诗人之一。白居易与元稹共同倡导新乐府运动，世称“元白”，与刘禹锡并称“刘白”。白居易的诗歌题材广泛，形式多样，语言平易通俗，有“诗魔”和“诗王”之称。官至翰林学士、左赞善大夫。公元846年，白居易在洛阳逝世，葬于香山。有《白氏长庆集》传世，代表诗作有《长恨歌》、《卖炭翁》、《琵琶行》等。
柳宗元,,柳河东，河东先生，柳柳州,字子厚,唐朝,,,汉族,773年,819年11月28日,,柳州刺史,长安,《溪居》，《江雪》，《渔翁》,,柳宗元，字子厚，汉族，河东人，唐宋八大家之一，唐代文学家、哲学家、散文家和思想家世称“柳河东”、 “河东先生”，因官终柳州刺史，又称“柳柳州”。柳宗元与韩愈并称为“韩柳”，与刘禹锡并称“刘柳”，与王维、孟浩然、韦应物并称“王孟韦柳”。柳宗元一生留诗文作品达600余篇，其文的成就大于诗。骈文有近百篇，散文论说理性强，笔锋犀利，讽刺辛辣。游记写景状物，多所寄托，有《河东先生集》，代表作有《溪居》、《江雪》、《渔翁》。柳宗元遗族所建柳氏民居，现位于山西晋城市沁水县文兴村，为国家4A级景区。
